Date,Name,Year,Letterboxd URI
2012-09-20,Shame,2011,https://letterboxd.com/film/shame-2011/
2012-09-20,Moneyball,2011,https://letterboxd.com/film/moneyball/
2012-09-20,Arbitrage,2012,https://letterboxd.com/film/arbitrage/
2012-09-20,The Descendants,2011,https://letterboxd.com/film/the-descendants/
2012-09-20,Zodiac,2007,https://letterboxd.com/film/zodiac/
2012-09-20,Carnage,2011,https://letterboxd.com/film/carnage/
2012-09-20,Twelve Monkeys,1995,https://letterboxd.com/film/twelve-monkeys/
2012-09-20,Beasts of the Southern Wild,2012,https://letterboxd.com/film/beasts-of-the-southern-wild/
2012-09-20,Snatch,2000,https://letterboxd.com/film/snatch/
2012-09-20,Trainspotting,1996,https://letterboxd.com/film/trainspotting/
2012-09-20,Take Shelter,2011,https://letterboxd.com/film/take-shelter/
2012-09-20,A Dangerous Method,2011,https://letterboxd.com/film/a-dangerous-method/
2012-09-20,Sunshine,2007,https://letterboxd.com/film/sunshine-2007/
2012-09-20,Compliance,2012,https://letterboxd.com/film/compliance/
2012-09-20,The Imposter,2012,https://letterboxd.com/film/the-imposter-2012/
2012-09-20,Chinatown,1974,https://letterboxd.com/film/chinatown/
2012-09-20,Jiro Dreams of Sushi,2011,https://letterboxd.com/film/jiro-dreams-of-sushi/
2012-09-20,Eyes Wide Shut,1999,https://letterboxd.com/film/eyes-wide-shut/
2012-09-20,Clerks,1994,https://letterboxd.com/film/clerks/
2012-09-20,Anna Karenina,2012,https://letterboxd.com/film/anna-karenina-2012/
2012-09-20,"Jeff, Who Lives at Home",2011,https://letterboxd.com/film/jeff-who-lives-at-home/
2012-09-20,From Dusk Till Dawn,1996,https://letterboxd.com/film/from-dusk-till-dawn/
2012-09-20,The Skin I Live In,2011,https://letterboxd.com/film/the-skin-i-live-in/
2012-09-20,Cloud Atlas,2012,https://letterboxd.com/film/cloud-atlas/
2012-09-20,Brokeback Mountain,2005,https://letterboxd.com/film/brokeback-mountain/
2012-09-20,Minority Report,2002,https://letterboxd.com/film/minority-report/
2012-09-20,The Ides of March,2011,https://letterboxd.com/film/the-ides-of-march/
2012-09-20,Submarine,2010,https://letterboxd.com/film/submarine/
2012-09-20,Close Encounters of the Third Kind,1977,https://letterboxd.com/film/close-encounters-of-the-third-kind/
2012-09-20,Sunset Boulevard,1950,https://letterboxd.com/film/sunset-boulevard/
2012-09-20,M,1931,https://letterboxd.com/film/m/
2012-09-20,Eastern Promises,2007,https://letterboxd.com/film/eastern-promises/
2012-09-20,Rocky,1976,https://letterboxd.com/film/rocky/
2012-09-20,Dawn of the Dead,1978,https://letterboxd.com/film/dawn-of-the-dead/
2012-09-20,Another Earth,2011,https://letterboxd.com/film/another-earth/
2012-09-20,The Deer Hunter,1978,https://letterboxd.com/film/the-deer-hunter/
2012-09-20,Road to Perdition,2002,https://letterboxd.com/film/road-to-perdition/
2012-09-20,Platoon,1986,https://letterboxd.com/film/platoon/
2012-09-20,Into the Wild,2007,https://letterboxd.com/film/into-the-wild/
2012-09-20,The Nightmare Before Christmas,1993,https://letterboxd.com/film/the-nightmare-before-christmas/
