Const,Your Rating,Date Rated,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
tt1034415,5,2019-05-27,Suspiria,https://www.imdb.com/title/tt1034415/,movie,6.8,152,2018,"Fantasy, Horror, Mystery, Thriller",50414,2018-09-01,Luca Guadagnino
tt10701384,10,2019-12-27,Very Ralph,https://www.imdb.com/title/tt10701384/,movie,7.0,108,2019,Documentary,276,2019-10-26,Susan Lacy
tt1191111,7,2019-06-07,Enter the Void,https://www.imdb.com/title/tt1191111/,movie,7.3,161,2009,"Drama, Fantasy",65042,2009-05-22,Gaspar Noé
tt1379182,6,2019-05-23,Kynodontas,https://www.imdb.com/title/tt1379182/,movie,7.3,97,2009,"Drama, Thriller",73955,2009-05-18,Yorgos Lanthimos
tt1392214,10,2019-05-23,Prisoners,https://www.imdb.com/title/tt1392214/,movie,8.1,153,2013,"Crime, Drama, Mystery, Thriller",554800,2013-08-30,Denis Villeneuve
tt1441395,6,2019-05-23,Under the Skin,https://www.imdb.com/title/tt1441395/,movie,6.3,108,2013,"Drama, Horror, Sci-Fi, Thriller",120195,2013-08-29,Jonathan Glazer
tt1527186,6,2019-05-23,Melancholia,https://www.imdb.com/title/tt1527186/,movie,7.2,135,2011,"Drama, Sci-Fi",158936,2011-05-18,Lars von Trier
tt1534085,5,2019-05-23,Beyond the Black Rainbow,https://www.imdb.com/title/tt1534085/,movie,6.1,110,2010,"Horror, Sci-Fi, Thriller",11789,2010-12-03,Panos Cosmatos
tt1588170,7,2019-06-07,Ang-ma-reul bo-at-da,https://www.imdb.com/title/tt1588170/,movie,7.8,144,2010,"Action, Crime, Drama, Horror, Thriller",99985,2010-08-12,Jee-woon Kim
tt1663661,7,2019-06-19,"Era Uma Vez Eu, Verônica",https://www.imdb.com/title/tt1663661/,movie,6.1,91,2012,Drama,571,2012-09-08,Marcelo Gomes
tt1788391,9,2019-06-03,Kill List,https://www.imdb.com/title/tt1788391/,movie,6.4,95,2011,"Crime, Drama, Horror, Thriller",34347,2011-03-12,Ben Wheatley
tt2043933,8,2019-07-07,Night Moves,https://www.imdb.com/title/tt2043933/,movie,6.0,112,2013,"Drama, Thriller",13518,2013-08-31,Kelly Reichardt
tt2084989,2,2019-06-07,Upstream Color,https://www.imdb.com/title/tt2084989/,movie,6.7,96,2013,"Drama, Sci-Fi",29615,2013-01-21,Shane Carruth
tt2321549,5,2019-06-04,The Babadook,https://www.imdb.com/title/tt2321549/,movie,6.8,94,2014,"Drama, Horror",183127,2014-01-17,Jennifer Kent
tt2494362,9,2019-06-07,Bone Tomahawk,https://www.imdb.com/title/tt2494362/,movie,7.1,132,2015,"Drama, Horror, Western",77552,2015-10-01,S. Craig Zahler
tt0276919,10,2019-05-30,Dogville,https://www.imdb.com/title/tt0276919/,movie,8.0,178,2003,"Crime, Drama",130847,2003-05-19,Lars von Trier
tt2798920,9,2019-05-23,Annihilation,https://www.imdb.com/title/tt2798920/,movie,6.9,115,2018,"Adventure, Drama, Horror, Mystery, Sci-Fi, Thriller",253494,2018-02-13,Alex Garland
tt2866360,6,2019-06-07,Coherence,https://www.imdb.com/title/tt2866360/,movie,7.2,89,2013,"Drama, Horror, Mystery, Sci-Fi, Thriller",95944,2013-09-19,James Ward Byrkit
tt3235888,9,2019-05-26,It Follows,https://www.imdb.com/title/tt3235888/,movie,6.8,100,2014,"Horror, Mystery, Thriller",194977,2014-05-17,David Robert Mitchell
tt3286052,6,2019-05-27,February,https://www.imdb.com/title/tt3286052/,movie,5.9,93,2015,"Horror, Mystery, Thriller",15876,2015-09-12,Oz Perkins
tt3395184,6,2019-05-29,Spring,https://www.imdb.com/title/tt3395184/,movie,6.7,109,2014,"Horror, Romance, Sci-Fi",22235,2014-09-05,"Aaron Moorhead, Justin Benson"
tt0348914,10,2019-06-04,Deadwood,https://www.imdb.com/title/tt0348914/,tvSeries,8.6,55,2004,"Crime, Drama, History, Western",89177,2004-03-21,
tt4003440,8,2019-05-27,The House That Jack Built,https://www.imdb.com/title/tt4003440/,movie,6.8,152,2018,"Crime, Drama, Horror",47684,2018-05-14,Lars von Trier
tt4226388,7,2019-05-29,Victoria,https://www.imdb.com/title/tt4226388/,movie,7.7,138,2015,"Crime, Drama, Romance, Thriller",47558,2015-02-07,Sebastian Schipper
tt4263482,10,2019-05-23,The VVitch: A New-England Folktale,https://www.imdb.com/title/tt4263482/,movie,6.9,92,2015,"Drama, Horror, Mystery",175413,2015-01-23,Robert Eggers
tt0443706,7,2019-05-23,Zodiac,https://www.imdb.com/title/tt0443706/,movie,7.7,157,2007,"Crime, Drama, Mystery, Thriller",418125,2007-02-28,David Fincher
tt4638148,3,2019-06-07,Braid,https://www.imdb.com/title/tt4638148/,movie,5.3,82,2018,"Horror, Mystery, Thriller",2032,2018-04-22,Mitzi Peirone
tt4673790,2,2019-06-19,Vazante,https://www.imdb.com/title/tt4673790/,movie,6.2,116,2017,"Adventure, Drama",462,2017-02-10,Daniela Thomas
tt4687108,7,2019-12-11,In the Tall Grass,https://www.imdb.com/title/tt4687108/,movie,5.4,101,2019,"Drama, Horror, Mystery, Thriller",35287,2019-09-20,Vincenzo Natali
tt4805316,8,2019-05-27,A Dark Song,https://www.imdb.com/title/tt4805316/,movie,6.1,100,2016,"Drama, Fantasy, Horror, Mystery",12563,2016-07-08,Liam Gavin
tt5180504,7,2019-12-27,The Witcher,https://www.imdb.com/title/tt5180504/,tvSeries,8.3,60,2019,"Action, Adventure, Drama, Fantasy, Horror, Mystery",222027,2019-12-20,
tt5215952,7,2019-06-07,Gok-seong,https://www.imdb.com/title/tt5215952/,movie,7.4,156,2016,"Horror, Mystery, Thriller",40874,2016-05-12,Hong-jin Na
tt5290382,1,2019-08-17,Mindhunter,https://www.imdb.com/title/tt5290382/,tvSeries,8.6,60,2017,"Crime, Drama, Thriller",177435,2017-10-13,
tt5628302,8,2019-05-29,Beast,https://www.imdb.com/title/tt5628302/,movie,6.8,107,2017,"Crime, Drama, Mystery, Romance",8774,2017-09-09,Michael Pearce
tt5691670,5,2019-12-27,Under the Silver Lake,https://www.imdb.com/title/tt5691670/,movie,6.5,139,2018,"Crime, Drama, Mystery, Thriller",26286,2018-05-15,David Robert Mitchell
tt5715874,10,2019-05-23,The Killing of a Sacred Deer,https://www.imdb.com/title/tt5715874/,movie,7.1,121,2017,"Drama, Horror, Mystery, Thriller",102654,2017-05-22,Yorgos Lanthimos
tt5753856,7,2019-05-23,Dark,https://www.imdb.com/title/tt5753856/,tvSeries,8.7,60,2017,"Crime, Drama, Mystery, Sci-Fi, Thriller",160975,2017-09-09,
tt6048596,9,2019-06-07,The Sinner,https://www.imdb.com/title/tt6048596/,tvSeries,8.0,45,2017,"Crime, Drama, Mystery, Thriller",67733,2017-04-25,
tt6198946,7,2019-07-19,The Hole in the Ground,https://www.imdb.com/title/tt6198946/,movie,5.7,90,2019,"Drama, Horror, Mystery",12021,2019-01-25,Lee Cronin
tt6644200,5,2019-05-26,A Quiet Place,https://www.imdb.com/title/tt6644200/,movie,7.5,90,2018,"Drama, Horror, Sci-Fi",354318,2018-03-09,John Krasinski
tt6656238,7,2019-05-23,The Rain,https://www.imdb.com/title/tt6656238/,tvSeries,6.3,45,2018,"Sci-Fi, Thriller",24114,2018-05-04,
tt6751668,10,2019-08-25,Gisaengchung,https://www.imdb.com/title/tt6751668/,movie,8.6,132,2019,"Comedy, Drama, Thriller",275004,2019-05-21,Bong Joon Ho
tt6888938,1,2019-08-05,White Chamber,https://www.imdb.com/title/tt6888938/,movie,4.4,89,2018,"Drama, Horror, Sci-Fi, Thriller",1099,2018-04-05,Paul Raschid
tt6998518,9,2019-05-23,Mandy,https://www.imdb.com/title/tt6998518/,movie,6.6,121,2018,"Action, Fantasy, Horror, Mystery, Thriller",53350,2018-01-19,Panos Cosmatos
tt7049682,2,2019-11-02,Watchmen,https://www.imdb.com/title/tt7049682/,tvMiniSeries,8.1,60,2019,"Action, Drama, Mystery, Sci-Fi",59699,2019-10-20,
tt7120662,8,2019-05-23,Derry Girls,https://www.imdb.com/title/tt7120662/,tvSeries,8.4,30,2018,Comedy,14503,2018-01-04,
tt7286456,10,2019-10-05,Joker,https://www.imdb.com/title/tt7286456/,movie,8.6,122,2019,"Crime, Drama, Thriller",691397,2019-08-31,Todd Phillips
tt7297336,7,2019-05-26,Nothing Really Happens,https://www.imdb.com/title/tt7297336/,movie,5.3,101,2018,"Comedy, Sci-Fi, Thriller",249,2018-05-02,Justin Petty
tt7366338,10,2019-06-07,Chernobyl,https://www.imdb.com/title/tt7366338/,tvMiniSeries,9.4,330,2019,"Drama, History, Thriller",421292,2019-05-06,
tt7772580,1,2019-12-27,The Perfection,https://www.imdb.com/title/tt7772580/,movie,6.1,90,2018,"Drama, Horror, Thriller",28355,2018-09-20,Richard Shepard
tt7784604,8,2019-05-23,Hereditary,https://www.imdb.com/title/tt7784604/,movie,7.3,127,2018,"Drama, Horror, Mystery, Thriller",194788,2018-01-21,Ari Aster
tt7984734,7,2019-12-27,The Lighthouse,https://www.imdb.com/title/tt7984734/,movie,7.7,109,2019,"Drama, Fantasy, Horror, Mystery",76242,2019-05-19,Robert Eggers
tt8178486,7,2019-12-10,Earthquake Bird,https://www.imdb.com/title/tt8178486/,movie,5.9,107,2019,"Crime, Drama, Mystery, Romance, Thriller",9694,2019-10-10,Wash Westmoreland
tt8359848,6,2019-06-02,Climax,https://www.imdb.com/title/tt8359848/,movie,7.1,97,2018,"Drama, Horror, Music, Thriller",38668,2018-05-13,Gaspar Noé
tt0870984,10,2019-05-23,Antichrist,https://www.imdb.com/title/tt0870984/,movie,6.6,108,2009,"Drama, Horror",110796,2009-05-18,Lars von Trier
tt8772262,4,2019-07-04,Midsommar,https://www.imdb.com/title/tt8772262/,movie,7.2,148,2019,"Drama, Horror, Mystery, Thriller",119691,2019-06-24,Ari Aster
tt8778064,10,2019-05-23,The Society,https://www.imdb.com/title/tt8778064/,tvSeries,7.0,58,2019,"Drama, Mystery, Sci-Fi, Thriller",14089,2019-05-10,
tt0972544,8,2019-07-24,Back Roads,https://www.imdb.com/title/tt0972544/,movie,7.0,101,2018,"Crime, Drama, Thriller",3738,2018-04-20,Alex Pettyfer
