Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
9/21/2012,Lilya 4-ever,2002,https://letterboxd.com/tabula_rasta/film/lilya-4-ever/,3,,,8/15/2012
9/21/2012,The Bourne Legacy,2012,https://letterboxd.com/tabula_rasta/film/the-bourne-legacy/,2.5,,,8/16/2012
3/13/2013,Double Indemnity,1944,https://letterboxd.com/tabula_rasta/film/double-indemnity/1/,3.5,,,8/24/2012
9/21/2012,Die Hard,1988,https://letterboxd.com/tabula_rasta/film/die-hard/,4,Yes,,8/29/2012
9/21/2012,Kick-Ass,2010,https://letterboxd.com/tabula_rasta/film/kick-ass/,4.5,Yes,,8/31/2012
9/21/2012,Rubber,2010,https://letterboxd.com/tabula_rasta/film/rubber/,3,,,9/3/2012
9/21/2012,Blade Runner,1982,https://letterboxd.com/tabula_rasta/film/blade-runner/,4,,,9/4/2012
9/21/2012,Sunrise: A Song of Two Humans,1927,https://letterboxd.com/tabula_rasta/film/sunrise-a-song-of-two-humans/,4.5,,,9/5/2012
9/21/2012,The Avengers,2012,https://letterboxd.com/tabula_rasta/film/the-avengers-2012/,3,Yes,,9/7/2012
9/21/2012,Being John Malkovich,1999,https://letterboxd.com/tabula_rasta/film/being-john-malkovich/,5,,,9/8/2012
9/21/2012,A State of Mind,2004,https://letterboxd.com/tabula_rasta/film/a-state-of-mind/,4,,,9/10/2012
9/21/2012,The Maltese Falcon,1941,https://letterboxd.com/tabula_rasta/film/the-maltese-falcon-1941/,4,,,9/11/2012
9/21/2012,Casablanca,1942,https://letterboxd.com/tabula_rasta/film/casablanca/,5,Yes,,9/12/2012
9/21/2012,Notorious,1946,https://letterboxd.com/tabula_rasta/film/notorious/,5,Yes,,9/14/2012
9/21/2012,Blue Gold: World Water Wars,2008,https://letterboxd.com/tabula_rasta/film/blue-gold-world-water-wars/,3.5,,,9/17/2012
9/21/2012,Watchmen,2009,https://letterboxd.com/tabula_rasta/film/watchmen/,4.5,Yes,,9/17/2012
9/21/2012,Reservoir Dogs,1992,https://letterboxd.com/tabula_rasta/film/reservoir-dogs/1/,4.5,Yes,,9/18/2012
9/21/2012,Singin' in the Rain,1952,https://letterboxd.com/tabula_rasta/film/singin-in-the-rain/1/,5,,,9/19/2012
9/22/2012,Dredd,2012,https://letterboxd.com/tabula_rasta/film/dredd/,2,,,9/22/2012
9/24/2012,Drive,2011,https://letterboxd.com/tabula_rasta/film/drive-2011/,4,,,9/23/2012
9/25/2012,La Haine,1995,https://letterboxd.com/tabula_rasta/film/la-haine/,4.5,,,9/25/2012
