Date,Name,Year,Letterboxd URI,Rating
2012-09-20,Pulp Fiction,1994,https://letterboxd.com/film/pulp-fiction/,5
2012-09-20,Reservoir Dogs,1992,https://letterboxd.com/film/reservoir-dogs/,4.5
2012-09-20,Singin' in the Rain,1952,https://letterboxd.com/film/singin-in-the-rain/,5
2012-09-21,Lilya 4-ever,2002,https://letterboxd.com/film/lilya-4-ever/,3.5
2012-09-21,The Bourne Legacy,2012,https://letterboxd.com/film/the-bourne-legacy/,3.5
2012-09-21,Kick-Ass,2010,https://letterboxd.com/film/kick-ass/,4
2012-09-21,Die Hard,1988,https://letterboxd.com/film/die-hard/,4.5
2012-09-21,The Avengers,2012,https://letterboxd.com/film/the-avengers-2012/,3.5
2012-09-21,Rubber,2010,https://letterboxd.com/film/rubber/,3.5
2012-09-21,Blade Runner,1982,https://letterboxd.com/film/blade-runner/,4
2012-09-21,Sunrise: A Song of Two Humans,1927,https://letterboxd.com/film/sunrise-a-song-of-two-humans/,4.5
2012-09-21,The Cabin in the Woods,2011,https://letterboxd.com/film/the-cabin-in-the-woods/,4
2012-09-21,Being John Malkovich,1999,https://letterboxd.com/film/being-john-malkovich/,5
2012-09-21,The Maltese Falcon,1941,https://letterboxd.com/film/the-maltese-falcon-1941/,4.5
2012-09-21,Casablanca,1942,https://letterboxd.com/film/casablanca/,5
2012-09-21,Double Indemnity,1944,https://letterboxd.com/film/double-indemnity/,4
2012-09-21,A State of Mind,2004,https://letterboxd.com/film/a-state-of-mind/,4
2012-09-21,Notorious,1946,https://letterboxd.com/film/notorious/,5
2012-09-21,Blue Gold: World Water Wars,2008,https://letterboxd.com/film/blue-gold-world-water-wars/,3.5
2012-09-21,Watchmen,2009,https://letterboxd.com/film/watchmen/,3.5
2012-09-21,"Synecdoche, New York",2008,https://letterboxd.com/film/synecdoche-new-york/,5
2012-09-21,The Lion King 1½,2004,https://letterboxd.com/film/the-lion-king-3-hakuna-matata/,2
2012-09-21,Ratatouille,2007,https://letterboxd.com/film/ratatouille/,4
2012-09-21,Grave of the Fireflies,1988,https://letterboxd.com/film/grave-of-the-fireflies/,3.5
2012-09-21,There Will Be Blood,2007,https://letterboxd.com/film/there-will-be-blood/,4.5
2012-09-21,The Green Mile,1999,https://letterboxd.com/film/the-green-mile/,5
